Name,StartDate,EndDate,StartTime,EndTime,Duration,Tag,Difficult
SumOfLengthsofNon-OverlappingSubArrays.py,2020-07-22,2020-07-22,01:05:36 PM,01:46:13 PM,40.0,Array,Medium
SortarrayOf01sand2s.py,2020-07-22,2020-07-22,09:19:10 PM,09:19:56 PM,0.0,Array,Medium
GreaterOnRightSide.py,2020-07-22,2020-07-22,09:21:15 PM,09:51:40 PM,30.0,Array,Hard
MergeKSortedArrays.py,2020-07-22,2020-07-22,10:03:57 PM,10:31:54 PM,27.0,Heap,Hard
CountOccurencesOfAnagrams.py,2020-07-23,2020-07-23,11:10:52 AM,11:23:26 AM,12.0,Sorting,Medium
FirstNegativeIntegerInEveryWindowOfSizeK.py,2020-07-23,2020-07-23,11:25:01 AM,11:34:16 AM,9.0,Sliding-Window,Medium
MaximumValueInABitonicArray.py,2020-07-23,2020-07-23,11:35:05 AM,11:38:16 AM,3.0,Sliding-Window,Medium
ConvertArrayIntoZig-ZagFashion.py,2020-07-23,2020-07-23,03:12:14 PM,03:46:55 PM,34.0,Two-Pointer,Medium
IndexOfAnExtraElement.py,2020-07-23,2020-07-23,03:54:43 PM,04:05:13 PM,10.0,Searching,Medium
FacingTheSun.py,2020-07-23,2020-07-23,04:12:16 PM,04:16:35 PM,4.0,Array,Medium
CuttingBinaryString.py,2020-07-23,2020-07-23,09:41:28 PM,11:06:13 PM,84.0,Array,Hard
CountStingFormed.py,2020-07-24,2020-07-24,09:16:40 PM,09:33:03 PM,16.0,String,Medium
PeakElement.py,2020-07-24,2020-07-24,09:37:58 PM,09:47:33 PM,9.0,Searching,Medium
MetaString.py,2020-07-24,2020-07-24,09:49:47 PM,09:54:20 PM,4.0,Searching,Medium
LongestSubstringWithKUniqueCharacters.py,2020-07-25,2020-07-25,12:48:04 PM,01:15:03 PM,26.0,Two-Pointer,Medium
FloodFillAlgorithm.py,2020-07-25,2020-07-25,02:52:42 PM,03:41:04 PM,48.0,Graphs,Hard
UnboundedKnapsack.py,2020-07-25,2020-07-25,04:02:54 PM,04:32:36 PM,29.0,Dynamic-Programing,Hard
GenerateBinaryString.py,2020-07-25,2020-07-25,09:11:35 PM,09:35:45 PM,24.0,String,Medium
SubarrayWithGivenSum.py,2020-07-25,2020-07-25,09:38:32 PM,09:48:07 PM,9.0,Array,Medium
PainterProblem.py,2020-07-26,2020-07-26,02:57:29 PM,03:33:08 PM,35.0,Dynamic-Programing,Medium
FindIfStringIsKPalindromeOrNot.py,2020-07-26,2020-07-26,03:58:16 PM,04:22:27 PM,24.0,Dynamic-Programing,Medium
MinimumDeletionsPalindrome.py,2020-07-26,2020-07-26,05:31:36 PM,05:51:38 PM,20.0,Dynamic-Programing,Medium
WaysToSumToN.py,2020-07-26,2020-07-26,08:54:47 PM,09:06:14 PM,11.0,Dynamic-Programing,Medium
LongestRepeatingSubsequence.py,2020-07-26,2020-07-26,09:13:33 PM,09:18:42 PM,5.0,Dynamic-Programing,Medium
SticklerThief.py,2020-07-26,2020-07-26,09:20:50 PM,09:36:19 PM,15.0,Dynamic-Programing,Medium
CountNumberOfWaysToCoverDistance.py,2020-07-26,2020-07-26,09:53:55 PM,10:01:03 PM,7.0,Dynamic-Programing,Medium
MinimumNumberOfJumps.py,2020-07-27,2020-07-27,03:25:14 PM,03:40:28 PM,15.0,Dynamic-Programing,Medium
LongestCommonSubsequence.py,2020-07-27,2020-07-27,03:46:51 PM,04:09:07 PM,22.0,Dynamic-Programing,Medium
KadanesAlgorithm.py,2020-07-27,2020-07-27,04:42:53 PM,04:45:28 PM,5.0,Dynamic-Programing,Medium
BoxStacking.py,2020-07-27,2020-07-27,04:46:31 PM,05:11:58 PM,25.0,Dynamic-Programing,Medium
UniquePartitions.py,2020-07-27,2020-07-27,09:22:58 PM,09:51:41 PM,28.0,Dynamic-Programing,Medium
InterleavedStrings.py,2020-07-27,2020-07-27,09:55:36 PM,10:08:55 PM,13.0,Dynamic-Programing,Medium
OptimalStrategyForAGame.py,2020-07-28,2020-07-28,04:12:42 PM,04:24:48 PM,12.0,Dynamic-Programing,Medium
DP_01_KnapSack01.py,2020-07-29,2020-07-29,09:05:54 AM,09:49:46 AM,43.0,Dynamic-Programing,Medium
DP_02_LCSS.py,2020-07-29,2020-07-29,11:01:37 AM,11:32:09 AM,30.0,Dynamic-Programing,Medium
DP_03_MatrixChainMultiplication.py,2020-07-29,2020-07-29,11:58:38 AM,12:29:47 PM,31.0,Dynamic-Programing,Medium
DP_04_SubsetSumProblem.py,2020-07-29,2020-07-29,12:58:26 PM,01:24:45 PM,26.0,Dynamic-Programing,Medium
DP_05_CoinChange.py,2020-07-29,2020-07-29,02:28:16 PM,02:57:46 PM,29.0,Dynamic-Programing,Medium
DP_06_MinimumEditDistance.py,2020-07-29,2020-07-29,09:16:48 PM,09:35:10 PM,18.0,Dynamic-Programing,Medium
DP_07_LongestIncreasingSubseq.py,2020-07-29,2020-07-29,10:09:27 PM,10:15:05 PM,5.0,Dynamic-Programing,Medium
DP_08_OptimalBinarySearchTree.py,2020-07-30,2020-07-30,09:41:01 PM,10:27:13 PM,46.0,Dynamic-Programing,Medium
DP_09_LongestPalindrome.py,2020-07-31,2020-07-31,12:47:48 PM,01:17:29 PM,29.0,Dynamic-Programing,Medium
DP_10_CuttingRod.py,2020-07-31,2020-07-31,01:27:45 PM,01:53:55 PM,26.0,Dynamic-Programing,Medium
DP_11_CoinChanging.py,2020-07-31,2020-07-31,05:38:13 PM,06:00:26 PM,22.0,Dynamic-Programing,Medium
DP_12_CoinWays.py,2020-07-31,2020-07-31,06:02:10 PM,06:14:03 PM,11.0,Dynamic-Programing,Medium
DP_13_RegexParttenMatch.py,2020-07-31,2020-07-31,06:26:37 PM,06:52:33 PM,25.0,Dynamic-Programing,Medium
DP_14_EggDropping.py,2020-08-02,2020-08-02,09:01:53 AM,09:18:57 AM,17.0,Dynamic-Programing,Medium
DP_15_KadensTwoD.py,2020-08-02,2020-08-02,10:21:22 AM,10:47:58 AM,26.0,Dynamic-Programing,Medium
DP_16_JobScheduling.py,2020-08-02,2020-08-02,11:18:15 AM,11:41:11 AM,22.0,Dynamic-Programing,Medium
DP_17_LongestCommonSubString.py,2020-08-02,2020-08-02,05:36:01 PM,05:48:06 PM,12.0,Dynamic-Programing,Medium
DP_18_MaximumRectangularSubmatrixOf1s.py,2020-08-02,2020-08-02,06:47:22 PM,07:14:06 PM,26.0,Dynamic-Programing,Medium
DP_19_WordBreak.py,2020-08-02,2020-08-02,09:14:26 PM,09:30:04 PM,15.0,Dynamic-Programing,Medium
DP_20_MaxProfitAtK-Trasacrion.py,2020-08-02,2020-08-02,10:05:16 PM,10:14:21 PM,9.0,Dynamic-Programing,Medium
DP_21_MinJumps.py,2020-08-03,2020-08-03,09:15:52 PM,09:31:15 PM,15.0,Dynamic-Programing,Medium
DP_22_MinCostPath.py,2020-08-03,2020-08-03,09:54:42 PM,10:38:04 PM,43.0,Dynamic-Programing,Medium
DP_23_TextJustification.py,2020-08-04,2020-08-04,07:47:03 AM,08:21:54 AM,24.0,Dynamic-Programing,Hard
DP_24_OptimalStrategyGame.py,2020-08-04,2020-08-04,10:33:14 AM,11:09:48 AM,36.0,Dynamic-Programing,Medium
DP_25_PalindromePartition.py,2020-08-04,2020-08-04,01:08:50 PM,01:34:26 PM,25.0,Dynamic-Programing,Hard
DP_26_MaximumSubSquareMatrix.py,2020-08-04,2020-08-04,02:15:25 PM,02:25:06 PM,9.0,Dynamic-Programing,Medium
DP_27_StaircaseProblem.py,2020-08-05,2020-08-05,06:19:17 PM,06:24:17 PM,5.0,Dynamic-Programing,Easy
DP_28_MaxSumIncreasingSubSeq.py,2020-08-05,2020-08-05,06:42:56 PM,06:51:15 PM,8.0,Dynamic-Programing,Medium
DP_29_MaximumSumSubsequenceNonAdjacent.py,2020-08-05,2020-08-05,07:19:24 PM,07:25:03 PM,5.0,Dynamic-Programing,Medium
DP_30_StringInterleaving.py,2020-08-05,2020-08-05,08:00:42 PM,08:27:52 PM,27.0,Dynamic-Programing,Hard
DP_31_NumberOfBinaryTreeTopology.py,2020-08-05,2020-08-05,09:28:15 PM,09:44:45 PM,16.0,Dynamic-Programing,Medium
DCP_01_ArrayPuzzel.py,2020-08-06,2020-08-06,09:09:26 PM,09:29:31 PM,20.0,Dynamic-Programing,Hard
G_01_PerfectSquare.py,2020-08-07,2020-08-07,10:53:38 AM,11:03:33 AM,9.0,Dynamic-Programing,Hard
G_02_NumberOfOccurrencesOfElementInSortedArray.py,2020-08-07,2020-08-07,11:33:46 AM,11:52:20 AM,18.0,Searching,Medium
G_03_FlipEquivalentBinaryTrees.py,2020-08-07,2020-08-07,12:19:39 PM,12:25:27 PM,5.0,Tree,Medium
G_04_SerializeandDeserializeBinaryTree.py,2020-08-07,2020-08-07,02:22:38 PM,02:37:25 PM,14.0,Tree,Hard
G_05_ReorganizeString.py,2020-08-07,2020-08-07,03:12:09 PM,03:39:38 PM,27.0,Heap,Hard
G_06_MaximumSumOfTwoNonOverlappingSubarrays.py,2020-08-07,2020-08-07,09:18:23 PM,09:48:36 PM,30.0,Sliding-Window,Medium
G_07_RightSiblingTree.py,2020-08-08,2020-08-08,11:13:10 AM,11:38:48 AM,25.0,Tree,Medium
G_08_HouseRobberIII.py,2020-08-08,2020-08-08,12:00:22 PM,12:15:32 PM,15.0,Tree,Medium
G_09_BrokenKeyboard.py,2020-08-08,2020-08-08,12:24:28 PM,01:08:47 PM,44.0,Tries,Medium
G_10_KthMissingElementInSortedArray.py,2020-08-08,2020-08-08,09:53:21 PM,10:06:55 PM,13.0,Array,Medium
G_11_RemoveKthNode.py,2020-08-09,2020-08-09,11:41:10 AM,12:01:56 PM,20.0,Linked-List,Medium
G_12_FindLoop.py,2020-08-09,2020-08-09,12:07:01 PM,12:21:08 PM,14.0,Linked-List,Medium
G_13_ReverseLinkedList.py,2020-08-09,2020-08-09,12:23:24 PM,12:31:39 PM,8.0,Linked-List,Hard
G_14_Merge_linkedList.py,2020-08-09,2020-08-09,12:34:27 PM,01:03:32 PM,29.0,Linked-List,Hard
G_15_ShiftLinkedList.py,2020-08-09,2020-08-09,07:48:04 PM,08:09:10 PM,21.0,Linked-List,Hard
G_16_RearrangeLinkedList.py,2020-08-09,2020-08-09,08:48:45 PM,09:46:24 PM,57.0,Linked-List,Hard
G_17_MergeSort.py,2020-08-10,2020-08-10,07:42:47 AM,08:01:26 AM,18.0,Sorting,Medium
G_18_QuickSort.py,2020-08-10,2020-08-10,08:03:27 AM,08:18:46 AM,15.0,Sorting,Medium
G_19_kMinNumber.py,2020-08-10,2020-08-10,11:54:19 AM,12:18:40 PM,24.0,Sorting,Medium
G_20_MergeSortedArray.py,2020-08-10,2020-08-10,09:05:48 PM,09:26:15 PM,20.0,Heap,Hard
G_21_HeapSort.py,2020-08-11,2020-08-11,02:16:59 PM,02:36:09 PM,19.0,Sorting,Hard
G_22_TimeToTypeAString.py,2020-08-11,2020-08-11,03:43:30 PM,03:50:20 PM,6.0,String,Medium
G_23_CountAndSay.py,2020-08-11,2020-08-11,07:53:53 PM,08:09:37 PM,15.0,String,Medium
G_24_NumberOfWaysDecode.py,2020-08-11,2020-08-11,09:26:58 PM,09:43:57 PM,16.0,String,Medium
G_25_LinkedListConstruction.py,2020-08-12,2020-08-12,12:47:58 PM,01:01:33 PM,13.0,Linked-List,Medium
G_26_IsomorphicStrings.py,2020-08-12,2020-08-12,09:14:22 PM,09:56:41 PM,42.0,String,Medium
G_27_LongestPalidromicSubstring.py,2020-08-13,2020-08-13,11:53:01 AM,12:09:26 PM,16.0,String,Medium
G_28_GroupAnagram.py,2020-08-13,2020-08-13,12:20:07 PM,12:25:31 PM,5.0,String,Medium
G_29_longestSubstringWithoutDuplicates.py,2020-08-13,2020-08-13,12:33:37 PM,12:46:44 PM,13.0,String,Medium
G_30_UnderScorifyString.py,2020-08-13,2020-08-13,03:10:36 PM,03:39:54 PM,29.0,String,Hard
G_31_bstConstruction.py,2020-08-14,2020-08-14,02:15:40 PM,02:42:34 PM,26.0,Tree,Medium
G_32_ValidateBST.py,2020-08-14,2020-08-14,02:55:37 PM,03:10:07 PM,14.0,Tree,Medium
G_33_FindClosestValue.py,2020-08-14,2020-08-14,03:13:07 PM,03:31:04 PM,17.0,Tree,Medium
G_34_MinHeightBST.py,2020-08-14,2020-08-14,03:33:38 PM,03:47:59 PM,14.0,Tree,Medium
G_35_SameBST.py,2020-08-15,2020-08-15,10:01:18 AM,10:18:47 AM,17.0,Tree,Hard
G_36_BranchSum.py,2020-08-15,2020-08-15,10:23:02 AM,10:37:04 AM,14.0,Tree,Easy
G_37_NodeDepth.py,2020-08-15,2020-08-15,11:53:45 AM,12:06:10 PM,12.0,Tree,Easy
G_38_InvertBinaryTree.py,2020-08-15,2020-08-15,12:07:28 PM,12:13:32 PM,6.0,Tree,Medium
G_39_MaxPathSumBinaryTree.py,2020-08-15,2020-08-15,09:03:53 PM,09:21:42 PM,17.0,Tree,Hard
G_40_CheckIfTreeisBalanced.py,2020-08-15,2020-08-15,09:30:47 PM,09:45:13 PM,14.0,Tree,Easy
G_41_MorrisTraversalWithoutSpace.py,2020-08-16,2020-08-16,09:31:51 AM,10:05:35 AM,33.0,Tree,Hard
G_42_MedianOfBST.py,2020-08-16,2020-08-16,10:39:47 AM,10:51:53 AM,12.0,Tree,Medium
G_43_ZigZagTreeTraversal.py,2020-08-16,2020-08-16,12:11:31 PM,12:20:28 PM,8.0,Tree,Medium
G_44_IfTwoNodesAreCousins.py,2020-08-16,2020-08-16,12:30:47 PM,12:52:05 PM,21.0,Tree,Medium
G_45_KthLargestAndSmallestElementinBST.py,2020-08-16,2020-08-16,09:13:03 PM,09:57:52 PM,44.0,Tree,Medium
G_46_DiagonalSumofaBinaryTree.py,2020-08-16,2020-08-16,10:05:50 PM,10:14:01 PM,8.0,Tree,Medium
G_47_PrintLeftmostAndRightMostNodesofaBinaryTree.py,2020-08-17,2020-08-17,12:14:36 PM,12:29:18 PM,14.0,Tree,Medium
G_48_NodesWithKleaves.py,2020-08-17,2020-08-17,12:45:02 PM,12:59:38 PM,14.0,Tree,Medium
G_49_CommonAncesstor.py,2020-08-17,2020-08-17,09:15:39 PM,09:37:08 PM,21.0,Tree,Hard
G_50_FindtheRotationCountInRotatedSortedArray.py,2020-08-18,2020-08-18,02:27:07 PM,02:36:17 PM,9.0,Searching,Medium
G_51_MaxElementinBitonicArray.py,2020-08-18,2020-08-18,02:42:25 PM,03:08:30 PM,26.0,Searching,Medium
G_52_FloorInASortedArray.py,2020-08-18,2020-08-18,03:15:01 PM,03:32:04 PM,17.0,Searching,Medium
G_53_FindTheElementThatAppearsOnceInASortedArray.py,2020-08-18,2020-08-18,08:15:09 PM,08:35:40 PM,20.0,Searching,Medium
G_54_TransitionPointInABinaryArray.py,2020-08-18,2020-08-18,08:45:44 PM,08:55:42 PM,9.0,Searching,Medium
G_55_FindTheNumberOfZeroes.py,2020-08-18,2020-08-18,08:57:18 PM,09:17:04 PM,19.0,Searching,Medium
G_56_SearchInSortedMatrix.py,2020-08-18,2020-08-18,09:22:30 PM,09:36:30 PM,14.0,Searching,Medium
G_57_IndexOfAnExtraElement.py,2020-08-19,2020-08-19,09:32:55 PM,09:39:30 PM,6.0,Searching,Medium
G_58_CountElementOfLessOrEqualTo.py,2020-08-19,2020-08-19,09:48:47 PM,10:05:45 PM,16.0,Searching,Medium
G_59_SortAccordingToGivenDefinitation.py,2020-08-19,2020-08-19,10:13:03 PM,10:34:14 PM,21.0,Searching,Medium
G_OA_01_AlphabetOrdering.py,2020-08-20,2020-08-20,11:47:23 AM,12:25:18 PM,37.0,String,Medium
G_OA_02_MaximumSubarray.py,2020-08-20,2020-08-20,12:48:31 PM,12:53:43 PM,5.0,Array,Medium
G_OA_03_KadensAlog.py,2020-08-21,2020-08-21,11:13:24 AM,11:22:50 AM,9.0,Array,Medium
G_OA_04_DominoRotation.py,2020-08-21,2020-08-21,11:28:33 AM,11:40:55 AM,12.0,Array,Medium
G_OA_05_SmallestDiff.py,2020-08-21,2020-08-21,11:48:29 AM,11:57:22 AM,8.0,Array,Medium
G_OA_06_CanConvertStringinKMoves.py,2020-08-21,2020-08-21,11:59:26 AM,12:23:14 PM,23.0,Array,Medium
G_OA_07_RemoveKElementToMin.py,2020-08-21,2020-08-21,12:27:50 PM,12:38:33 PM,10.0,Array,Medium
LC_1126_MinimumTimeVisitingAllPoints.py,2020-08-25,2020-08-25,10:58:55 AM,11:18:31 AM,19.0,Array,Easy
LC_1450_NumberofStudentsDoingHomeworkataGivenTime.py,2020-08-25,2020-08-25,11:32:53 AM,11:38:18 AM,5.0,Array,Easy
LC_1304_FindNUniqueIntegersSumuptoZero.py,2020-08-25,2020-08-25,12:31:41 PM,12:38:10 PM,6.0,Array,Easy
LC_1122_RelativeSortArray.py,2020-08-25,2020-08-25,12:38:15 PM,12:57:55 PM,19.0,Array,Easy
LC_509_FibonacciNumber.py,2020-08-25,2020-08-25,12:58:32 PM,01:04:53 PM,6.0,Array,Easy
LC_1299_ReplaceElementswithGreatestElementonRight.py,2020-08-26,2020-08-26,06:00:14 PM,06:24:03 PM,23.0,Array,Easy
LC_896_MonotonicArray.py,2020-08-27,2020-08-27,10:48:22 AM,10:54:36 AM,6.0,Array,Easy
LC_53_MaximumSubarray.py,2020-08-27,2020-08-27,10:55:28 AM,11:10:54 AM,15.0,Array,Medium
LC_674_LongestContinuousIncreasingSubsequence.py,2020-08-27,2020-08-27,11:13:03 AM,11:21:12 AM,8.0,Array,Medium
LC_1395_CountNumberofTeams.py,2020-08-27,2020-08-27,05:08:35 PM,05:46:02 PM,37.0,Array,Medium
LC_388_LongestAbsoluteFilePath.py,2020-08-31,2020-08-31,11:05:29 AM,11:26:16 AM,20.0,String,Medium
LC_681_NextClosestTime.py,2020-08-31,2020-08-31,04:57:26 PM,05:27:37 PM,30.0,String,Medium
LC_809_ExpressiveWords.py,2020-08-31,2020-08-31,05:44:28 PM,06:03:23 PM,18.0,String,Medium
LC_946_ValidateStackSequences.py,2020-08-31,2020-08-31,06:07:21 PM,06:12:04 PM,4.0,Array,Medium
LC_1438_LongestContinuousSubarrayWithAbsoluteDiffLessThanorEqualtoLimit.py,2020-09-01,2020-09-01,11:02:05 AM,11:16:08 AM,14.0,Array,Medium
LC_1110_DeleteNodesAndReturnForest.py,2020-09-01,2020-09-01,11:21:02 AM,11:42:31 AM,21.0,Tree,Medium
LC_846_HandofStraights.py,2020-09-01,2020-09-01,02:01:50 PM,02:26:39 PM,24.0,Array,Medium
LC_659_SplitArrayintoConsecutiveSubsequences.py,2020-09-01,2020-09-01,07:07:36 PM,07:13:01 PM,5.0,Array,Medium
LC_1423_MaximumPointsYouCanObtainfromCards.py,2020-09-01,2020-09-01,07:33:35 PM,07:59:13 PM,25.0,Array,Medium
LC_752_OpentheLock.py,2020-09-01,2020-09-01,09:11:00 PM,09:37:40 PM,26.0,Graphs,Medium
LC_1477_FindTwoNon-overlappingSub-arraysEachWithTargetSum.py,2020-09-02,2020-09-02,12:40:40 PM,12:57:14 PM,17.0,Array,Medium
LC_1376_TimeNeededtoInformAllEmployees.py,2020-09-02,2020-09-02,02:50:19 PM,03:03:38 PM,13.0,Graphs,Medium
LC_722_RemoveComments.py,2020-09-02,2020-09-02,10:07:20 PM,10:30:10 PM,22.0,String,Medium
LC_399_EvaluateDivision.py,2020-09-03,2020-09-03,08:35:12 AM,09:04:40 AM,29.0,Graphs,Medium
LC_1031_MaximumSumofTwoNon-OverlappingSubarrays.py,2020-09-03,2020-09-03,09:22:23 AM,09:43:57 AM,21.0,Array,Medium
LC_394_DecodeString.py,2020-09-06,2020-09-06,05:06:51 PM,05:22:16 PM,15.0,String,Medium
LC_444_SequenceReconstruction.py,2020-09-06,2020-09-06,05:46:07 PM,06:04:51 PM,18.0,Graphs,Medium
LC_253_MeetingRoom2.py,2020-09-06,2020-09-06,09:26:46 PM,09:40:23 PM,13.0,Heap,Medium
LC_562_LongestLineofConsecutiveOneinMatrix.py,2020-09-07,2020-09-07,09:30:55 AM,09:55:47 AM,24.0,Matrix,Medium
LC_418_SentenceScreenFitting.py,2020-09-07,2020-09-07,10:40:08 AM,11:10:01 AM,29.0,String,Medium
LC_1466_ReorderRoutestoMakeAllPathsLeadtotheCityZero.py,2020-09-07,2020-09-07,12:31:03 PM,12:37:22 PM,6.0,Graphs,Medium
LC_221_MaximalSquare.py,2020-09-07,2020-09-07,09:15:35 PM,09:30:48 PM,15.0,Matrix,Medium
LC_1197_MinimumKnightMoves.py,2020-09-07,2020-09-07,09:54:12 PM,10:11:43 PM,17.0,Graphs,Medium
LC_20_ValidParentheses.py,2020-09-09,2020-09-09,09:15:20 AM,09:21:08 AM,5.0,Array,Medium
LC_21_MergeTwoSortedLists.py,2020-09-10,2020-09-10,10:46:13 AM,11:00:38 AM,14.0,Linked-List,Medium
LC_202_HappyNumber.py,2020-09-10,2020-09-10,11:58:06 AM,12:03:51 PM,5.0,String,Easy
LC_206_ReverseLinkedList.py,2020-09-10,2020-09-10,12:05:09 PM,12:13:48 PM,8.0,Linked-List,Easy
LC_993_CousinsinBinaryTree.py,2020-09-11,2020-09-11,09:22:14 PM,09:50:50 PM,28.0,Tree,Medium
LC_703_KthLargestElementinaStream.py,2020-09-12,2020-09-12,10:34:45 AM,10:46:42 AM,11.0,Heap,Medium
LC_204_CountPrimes.py,2020-09-12,2020-09-12,10:58:51 AM,11:09:08 AM,10.0,Math,Medium
LC_1365_HowManyNumbersAreSmallerThantheCurrentNumber.py,2020-09-12,2020-09-12,11:16:55 AM,11:26:55 AM,10.0,Array,Medium
LC_110_BalancedBinaryTree.py,2020-09-12,2020-09-12,11:34:42 AM,11:55:58 AM,21.0,Tree,Medium
LC_88_MergeSortedArray.py,2020-09-13,2020-09-13,10:52:36 AM,11:08:47 AM,16.0,Array,Medium
LC_83_RemoveDuplicatesfromSortedList.py,2020-09-13,2020-09-13,11:09:37 AM,11:19:28 AM,9.0,Linked-List,Medium
LC_112_PathSum.py,2020-09-13,2020-09-13,11:30:02 AM,11:40:30 AM,10.0,Tree,Medium
LC_543_DiameterofBinaryTree.py,2020-09-13,2020-09-13,11:56:36 AM,12:12:19 PM,15.0,Tree,Medium
LC_237_DeleteNodeinaLinkedList.py,2020-09-13,2020-09-13,12:13:19 PM,12:21:38 PM,8.0,Linked-List,Medium
LC_35_SearchInsertPosition.py,2020-09-13,2020-09-13,04:47:07 PM,05:05:46 PM,18.0,Array,Medium
LC_234_PalindromeLinkedList.py,2020-09-13,2020-09-13,05:20:04 PM,05:36:25 PM,16.0,Linked-List,Medium
LC_1470_ShuffletheArray.py,2020-09-13,2020-09-13,08:21:14 PM,08:31:26 PM,10.0,Array,Medium
LC_387_FirstUniqueCharacterinaString.py,2020-09-14,2020-09-14,08:18:39 AM,08:29:21 AM,10.0,String,Medium
LC_198_HouseRobber.py,2020-09-14,2020-09-14,08:42:06 AM,08:57:12 AM,15.0,String,Medium
LC_141_LinkedListCycle.py,2020-09-14,2020-09-14,09:02:09 AM,09:08:49 AM,6.0,Linked-List,Medium
LC_503_NextGreaterElementTwo.py,2020-09-14,2020-09-14,08:54:46 PM,09:04:51 PM,10.0,Array,Medium
AZ_FindStringsMatchSpecificPatternDictionary.py,2020-09-15,2020-09-15,09:30:27 AM,09:42:30 AM,12.0,Array,Medium
AZ_MaxTransPali.py,2020-09-15,2020-09-15,10:05:29 AM,10:26:22 AM,20.0,Dynamic-Programing,Medium
AZ_NextHigerTemp.py,2020-09-15,2020-09-15,10:34:55 AM,10:51:28 AM,16.0,Array,Medium
AZ_MaxCountNonOverlappingSubarraySumK.py,2020-09-15,2020-09-15,10:55:04 AM,11:08:20 AM,13.0,Array,Medium
AZ_1_TwoSum.py,2020-09-16,2020-09-16,09:20:39 AM,09:30:44 AM,10.0,Array,Easy
AZ_4_MedianofTwoSortedArrays.py,2020-09-16,2020-09-16,09:35:46 AM,09:50:50 AM,15.0,Array,Easy
AZ_5_LongestPalindromicSubstring.py,2020-09-16,2020-09-16,10:17:45 AM,10:27:21 AM,9.0,Array,Easy
AZ_12_IntegertoRoman.py,2020-09-16,2020-09-16,10:36:32 AM,10:50:04 AM,13.0,String,Medium
AZ_8_StringtoIntegerAtoi.py,2020-09-16,2020-09-16,10:57:46 AM,11:06:28 AM,8.0,String,Medium
AZ_20_ValidParentheses.py,2020-09-17,2020-09-17,09:03:18 AM,09:08:54 AM,5.0,Array,Medium
AZ_23_MergekSortedLists.py,2020-09-17,2020-09-17,10:02:49 AM,10:15:00 AM,12.0,Linked-List,Medium
AZ_36_ValidSudoku.py,2020-09-17,2020-09-17,10:49:11 AM,11:01:10 AM,11.0,Matrix,Medium
AZ_40_CombinationSumII.py,2020-09-17,2020-09-17,11:21:04 AM,11:36:15 AM,15.0,Array,Medium
AZ_46_Permutations.py,2020-09-17,2020-09-17,11:48:57 AM,11:55:15 AM,6.0,Array,Medium
AZ_56_MergeIntervals.py,2020-09-17,2020-09-17,12:17:51 PM,12:36:18 PM,18.0,Array,Medium
AZ_61_RotateList.py,2020-09-17,2020-09-17,09:20:59 PM,09:33:03 PM,12.0,Linked-List,Medium
AZ_64_MinimumPathSum.py,2020-09-18,2020-09-18,09:17:14 AM,09:25:18 AM,8.0,Matrix,Medium
AZ_79_WordSearch.py,2020-09-18,2020-09-18,09:44:36 AM,10:12:34 AM,27.0,Matrix,Medium
AZ_98_ValidateBinarySearchTree.py,2020-09-18,2020-09-18,10:46:29 AM,10:55:24 AM,8.0,Tree,Medium
